date,equity,ret
2021-08-09,24097.94942546661,-0.03608202298133564
2021-08-10,24574.452566682685,0.019773597031144417
2021-08-11,24654.660523855313,0.003263875643007014
2021-08-12,24234.56600298472,-0.017039152514962325
2021-08-13,24265.168473217207,0.0012627612241423677
2021-08-16,23687.12377001302,-0.023821994223621683
2021-08-17,24263.725255777077,0.024342401861977624
2021-08-18,23366.530147662288,-0.03697680791621935
2021-08-19,22971.33123587683,-0.016913033697688054
2021-08-20,23513.296307985223,0.02359310684014456
2021-08-23,23626.19866896032,0.004801639017186855
2021-08-24,23248.881455208455,-0.015970288705291304
2021-08-25,22802.823469755,-0.01918621273513028
2021-08-26,22706.294181475394,-0.004233216487758226
2021-08-27,23774.027491846413,0.047023671138820736
2021-08-30,23925.912097320965,0.006388677960713246
2021-08-31,23393.900363916975,-0.02223579737482861
2021-09-01,23094.77806375997,-0.012786337271846054
2021-09-02,22782.491946209397,-0.013521936287433355
2021-09-03,22035.3136593988,-0.032796161568924155
2021-09-07,21933.421257997954,-0.00462405042087452
2021-09-08,21402.20422323194,-0.02421952455649424
2021-09-09,20929.490697312343,-0.02208714209943249
2021-09-10,20062.626455075388,-0.041418315178986906
2021-09-13,19126.34494320619,-0.04666794320104288
2021-09-14,18567.69810725808,-0.02920823804061659
2021-09-15,17881.917229204428,-0.0369340816557967
2021-09-16,17968.677215063748,0.004851827952632811
2021-09-17,18042.404711824765,0.004103112092147237
2021-09-20,17370.69927163635,-0.037229263555328046
2021-09-21,17947.862057803915,0.03322622636786903
2021-09-22,18401.094803926462,0.025252742898448772
2021-09-23,18044.538554731815,-0.019376904091519816
2021-09-24,17665.297637725398,-0.02101693627997873
2021-09-27,17603.405526512182,-0.0035035985513790437
2021-09-28,17956.042609170305,0.020032321707695703
2021-09-29,18052.676494749012,0.005381691705796809
2021-09-30,17864.3172622947,-0.010433867382994446
2021-10-01,17415.62616517535,-0.025116610421288266
2021-10-04,18253.68584115664,0.048121133746950345
2021-10-05,17855.575646593938,-0.02180985243347851
2021-10-06,17897.75760707215,0.002362397119706476
2021-10-07,17359.121969158394,-0.030095146539526354
2021-10-08,17254.83256284291,-0.006007758140116517
2021-10-11,18209.25545597243,0.05531336740901243
2021-10-12,18318.904175640935,0.006021592696835909
2021-10-13,17977.961716050726,-0.018611509527058204
2021-10-14,17699.95818492302,-0.015463573430546588
2021-10-15,18332.384940158357,0.035730409565263535
2021-10-18,18784.841129143268,0.024680705236216984
2021-10-19,18798.751539180426,0.0007405125197241076
2021-10-20,18201.781518632193,-0.031755833322443
2021-10-21,18132.895307157472,-0.0037845862177945167
2021-10-22,18343.824041828993,0.011632380328598878
2021-10-25,18785.19443317042,0.02406098043324997
2021-10-26,19067.93006284054,0.015050982340159991
2021-10-27,18312.56627213628,-0.03961435710194422
2021-10-28,18004.667727500662,-0.016813511555947357
2021-10-29,18101.710315598913,0.005389857206308036
2021-11-01,17893.061022003105,-0.011526496113243367
2021-11-02,18464.605023990625,0.03194221498963716
2021-11-03,18423.118079680655,-0.0022468362716703623
2021-11-04,18978.134748615656,0.030126098445145664
2021-11-05,19036.49328179626,0.0030750405112843185
2021-11-08,20152.309702091145,0.058614599011357266
2021-11-09,20169.91240798006,0.000873483295420421
2021-11-10,20175.773012210742,0.00029056170954723667
2021-11-11,21349.257972718147,0.058163073097481345
2021-11-12,21751.79484567637,0.018854841394142015
2021-11-15,22866.086430844305,0.05122756963614076
2021-11-16,23053.687488465865,0.008204336067255544
2021-11-17,22865.768719473872,-0.008151354055008005
2021-11-18,21633.765016582336,-0.053879828752150735
2021-11-19,20933.632394205673,-0.03236295771170704
2021-11-22,22022.012723678887,0.051991948123368784
2021-11-23,20646.81629263192,-0.062446446121988845
2021-11-24,20637.369682834382,-0.00045753348427425594
2021-11-26,19972.297192956532,-0.032226611244505536
2021-11-29,19855.570945926564,-0.005844407676405542
2021-11-30,18892.391603109783,-0.04850927457285635
2021-12-01,20920.936331484267,0.10737363331175992
2021-12-02,20709.68852470924,-0.010097435574961134
2021-12-03,21885.523715336916,0.056777058197894026
2021-12-06,20072.916152293874,-0.08282221557132792
2021-12-07,20048.79419355268,-0.0012017167091308567
2021-12-08,19088.072399057888,-0.04791918083551092
2021-12-09,19425.94299615266,0.017700613767131706
2021-12-10,19977.442941224614,0.02838986736351381
2021-12-13,20047.488133121446,0.0035062140887055673
2021-12-14,19641.16116988603,-0.02026822315779823
2021-12-15,18736.5726311968,-0.04605575662584302
2021-12-16,21336.82853238235,0.138779698526937
2021-12-17,21338.411058684444,7.416876878822069e-05
2021-12-20,20992.335489909347,-0.01621843200148917
2021-12-21,20611.784215806027,-0.018128105578640485
2021-12-22,20271.077217407415,-0.01652971886525687
2021-12-23,20337.78403646066,0.003290738737651301
2021-12-27,20107.452602095622,-0.011325296499958403
2021-12-28,20680.10566627735,0.028479642623752792
2021-12-29,20129.638520516808,-0.02661819792624075
2021-12-30,20019.99111978212,-0.00544706258003244
2021-12-31,18915.202682716408,-0.05518426209360555
2022-01-03,18927.31961300972,0.0006405921467806876
2022-01-04,19139.794684217217,0.011225840507361107
2022-01-05,18716.15317084711,-0.02213406780791881
2022-01-06,17424.135707237605,-0.06903221253937981
2022-01-07,16442.984679756053,-0.05630988210646237
2022-01-10,15295.136492635462,-0.0698077757460771
2022-01-11,15919.13105811378,0.04079692690410239
2022-01-12,15742.714091721084,-0.011082072617448485
2022-01-13,16044.534171261728,0.01917204859226714
2022-01-14,15750.121861625106,-0.0183496950733515
2022-01-18,15290.49292805429,-0.029182563640392786
2022-01-19,15320.636867257264,0.0019714170985076045
2022-01-20,13815.816255777045,-0.09822180530211971
