run_id,data_provider,start_date,end_date,timeframe,Portfolio,Strategy,P&L (%),vs. SPY (B&H),vs. QQQ (B&H),Max DD,Max Rcvry (d),Avg Rcvry (d),Calmar,Sharpe,Roll.Sharpe(avg),Roll.Sharpe(min),Roll.Sharpe(last),Profit Factor,Win Rate,Avg. Hold (d),Trades,Expectancy (R),SQN,OOS P&L (%),WFA Verdict,Rolling WFA,MC Verdict,MC Score,Smooth Verdict
rsi_div_v1_vs_v2_2026-07-21_14-17-50,polygon,2003-01-01,2026-12-31,1W,Nasdaq 100,RSI Divergence (14) w/ 2.0x ATR(14) SL,13.69%,-56.48%,-79.04%,36.85%,770,229,0.07,0.01,0.13,-0.31,-0.08,1.10,35.52%,69,290,0.105,0.98,+42.59%,Pass,N/A,Robust,5,ROUGH
rsi_div_v1_vs_v2_2026-07-21_14-17-50,polygon,2003-01-01,2026-12-31,1W,Nasdaq 100,RSI Divergence v2 (Trend+Confirm) w/ 2.0x ATR(14) SL,29.55%,-40.62%,-63.18%,12.25%,623,114,0.43,0.08,0.17,-0.41,0.13,1.66,38.64%,72,88,0.211,1.40,+21.97%,Pass,N/A,Robust,5,ROUGH
