run_id,data_provider,start_date,end_date,timeframe,Portfolio,Strategy,P&L (%),vs. SPY (B&H),vs. QQQ (B&H),Max DD,Max Rcvry (d),Avg Rcvry (d),Calmar,Sharpe,Roll.Sharpe(avg),Roll.Sharpe(min),Roll.Sharpe(last),Profit Factor,Win Rate,Avg. Hold (d),Trades,Expectancy (R),SQN,OOS P&L (%),WFA Verdict,Rolling WFA,MC Verdict,MC Score,Smooth Verdict
rsi_div_DAILY_2026-07-21_14-25-32,polygon,2003-01-01,2026-12-31,1D,Nasdaq 100,RSI Divergence v2 (Trend+Confirm) w/ 2.0x ATR(14) SL,18.99%,-52.88%,-76.03%,6.84%,341,36,0.52,-0.27,-0.22,-3.95,1.26,1.80,42.42%,18,132,0.158,1.52,+7.58%,Pass,N/A,Robust,5,ROUGH
rsi_div_DAILY_2026-07-21_14-25-32,polygon,2003-01-01,2026-12-31,1D,Nasdaq 100,RSI Divergence (14) w/ 2.0x ATR(14) SL,-25.25%,-97.12%,-120.26%,46.37%,2,1,-0.12,-0.36,-0.29,-2.88,0.67,0.89,33.10%,15,1426,0.039,0.80,+4.42%,Pass,N/A,Moderate Tail Risk,2,ROUGH
