,RSI Divergence (14) w/ 2.0x ATR(14) SL,RSI Divergence v2 (Trend+Confirm) w/ 2.0x ATR(14) SL
RSI Divergence (14) w/ 2.0x ATR(14) SL,1.0,0.1262
RSI Divergence v2 (Trend+Confirm) w/ 2.0x ATR(14) SL,0.1262,1.0
