trades,sessions,trade_rate,win_rate,avg_r,median_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,sharpe,t_stat_r,pct_long,long_avg_r,short_avg_r,pct_entry_gapped,avg_hold_min,exit_stop,exit_target,exit_time,leg,label,or_minutes,entry_cutoff,time_exit,target_r,direction,split
514,516,0.9961240310077519,0.4591439688715953,0.0010339168595105007,-0.16106442577030813,-34.43093385214008,-17697.5,0.9188681191477657,-48325.0,-0.5094017660088496,0.021998949197586676,0.5116731517509727,0.03706733422507486,-0.03672221368687765,0.0,53.41439688715953,0.3754863813229572,0.0,0.6245136186770428,ES,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,full
330,332,0.9939759036144579,0.4727272727272727,0.042100782349460894,-0.15474140562984673,14.772727272727273,4875.0,1.038679731820526,-26102.5,0.21860968003590495,0.7031540726913824,0.5,0.06917668543697167,0.015024879261950138,0.0,53.54848484848485,0.3575757575757576,0.0,0.6424242424242425,ES,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,IS
184,184,1.0,0.43478260869565216,-0.07261861363877009,-0.2399792315680166,-122.67663043478261,-22572.5,0.7549064849751622,-40755.0,-1.818980312156746,-0.9625197971318042,0.532608695652174,-0.016994328529649324,-0.13600442690265188,0.0,53.17391304347826,0.4076086956521739,0.0,0.592391304347826,ES,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,OOS
514,516,0.9961240310077519,0.4980544747081712,-0.02651800122192244,-0.0044736842105263155,-50.40856031128405,-25910.0,0.8770114396924099,-53155.0,-0.8602615029693117,-0.684330035374839,0.5116731517509727,0.009816762861493073,-0.06458988550056102,0.0,38.3715953307393,0.36186770428015563,0.3463035019455253,0.2918287937743191,ES,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,full
330,332,0.9939759036144579,0.5121212121212121,0.011764591660033474,0.09104362703165098,-4.053030303030303,-1337.5,0.9889681623226658,-27240.0,-0.07078898993530379,0.24230245754283747,0.5,0.02799304479485708,-0.004463861474790116,0.0,37.8969696969697,0.3424242424242424,0.3696969696969697,0.2878787878787879,ES,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,IS
184,184,1.0,0.47282608695652173,-0.09517699932543035,-0.07088325111580926,-133.5461956521739,-24572.5,0.7252320250475232,-38935.0,-2.199385477539598,-1.4832522633362186,0.532608695652174,-0.02078616080182383,-0.17994795485233078,0.0,39.22282608695652,0.3967391304347826,0.30434782608695654,0.29891304347826086,ES,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,OOS
514,516,0.9961240310077519,0.4591439688715953,0.013415672174559483,-0.16106442577030813,-25.359922178988327,-13035.0,0.9402427423698898,-44825.0,-0.38013107272839264,0.2908146174701496,0.5116731517509727,0.04679380698540261,-0.021558230037598804,0.0,49.80544747081712,0.3754863813229572,0.11089494163424124,0.5136186770428015,ES,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,full
330,332,0.9939759036144579,0.4727272727272727,0.042926014174821815,-0.15474140562984673,15.757575757575758,5200.0,1.0412583806085611,-25440.0,0.24036351705824288,0.7476122031940142,0.5,0.06659023578517935,0.0192617925644643,0.0,49.88181818181818,0.3575757575757576,0.1,0.5424242424242425,ES,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,IS
184,184,1.0,0.43478260869565216,-0.03951048467373705,-0.2399792315680166,-99.10326086956522,-18235.0,0.8020033117077011,-39292.5,-1.4433700283740516,-0.5096025782895732,0.532608695652174,0.013463085026594837,-0.09987571526248738,0.0,49.66847826086956,0.4076086956521739,0.13043478260869565,0.46195652173913043,ES,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,OOS
514,516,0.9961240310077519,0.3715953307392996,0.007427327687854136,-1.0101694915254238,-32.704280155642024,-16810.0,0.94291923462198,-57612.5,-0.35493294253353525,0.10928303112902604,0.5116731517509727,0.015017078610237978,-0.0005252798523329079,0.0,196.89105058365757,0.5778210116731517,0.0,0.3968871595330739,ES,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,full
330,332,0.9939759036144579,0.37272727272727274,0.03226520671498973,-1.011111111111111,8.712121212121213,2875.0,1.016337083759518,-44370.0,0.09539243504713645,0.3763517335879607,0.5,-0.0003984447475451616,0.0649288581775247,0.0,197.12121212121212,0.5848484848484848,0.0,0.38181818181818183,ES,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,IS
184,184,1.0,0.3695652173913043,-0.037118868393421656,-1.0089597147155513,-106.9836956521739,-19685.0,0.8339028814917943,-34420.0,-1.1425063401865831,-0.3325811794134434,0.532608695652174,0.040971786304464755,-0.12610589351426896,0.0,196.47826086956522,0.5652173913043478,0.0,0.42391304347826086,ES,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,OOS
514,516,0.9961240310077519,0.5097276264591439,-0.011175370649817374,0.1717171717171717,-30.66147859922179,-15760.0,0.9353216986262017,-41767.5,-0.4592643960921259,-0.259296716658578,0.5116731517509727,0.007709293655692848,-0.030962887432085043,0.0,74.51167315175097,0.4688715953307393,0.47470817120622566,0.04669260700389105,ES,OR15m/cut1100/exit1559/1R/both/follow,15,11:00,15:59,1.0,both,full
