trades,sessions,trade_rate,win_rate,avg_r,median_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,sharpe,t_stat_r,pct_long,long_avg_r,short_avg_r,pct_entry_gapped,avg_hold_min,exit_stop,exit_target,exit_time,leg,label,or_minutes,entry_cutoff,time_exit,target_r,direction,split
4084,4139,0.9867117661270839,0.4593535749265426,-0.02795339043535539,-0.10302148672093955,-0.697933398628794,-2850.3599999999947,0.9794718552189496,-7633.259999999997,-0.09981489007682955,-1.8457127711112227,0.5134671890303624,-0.029404420392713137,-0.026422031693242035,0.0017140058765915769,55.44784524975514,0.30411361410381976,0.0,0.69564152791381,MNQ,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,full
2666,2711,0.983400959055699,0.4444861215303826,-0.05782377436105936,-0.13161290322580646,-1.4518529632408097,-3870.6399999999985,0.9123302613983526,-5297.859999999919,-0.44816670078690474,-3.120967683229829,0.5123780945236309,-0.05090135502763107,-0.06509763959910783,0.002250562640660165,55.08064516129032,0.3015753938484621,0.0,0.6980495123780945,MNQ,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,IS
1418,1428,0.9929971988795518,0.48730606488011285,0.02820630176910638,-0.04288188002473717,0.7195204513399172,1020.2800000000025,1.0107736891701764,-7633.2599999999975,0.06556603521695953,1.0766666843553174,0.5155148095909732,0.010766322030402998,0.046763252553665605,0.0007052186177715092,56.13822284908321,0.30888575458392104,0.0,0.691114245416079,MNQ,OR15m/cut1100/exit1100/TE/both/follow,15,11:00,11:00,none,both,OOS
4084,4139,0.9867117661270839,0.49289911851126345,-0.04227095590592173,-0.016339271385010432,-1.4529529872673836,-5933.859999999995,0.9556260125344889,-6880.259999999998,-0.23261216827070427,-3.3287382269519883,0.5134671890303624,-0.04119324680323037,-0.043408326810976464,0.0017140058765915769,44.23285994123408,0.2916258570029383,0.28158667972575907,0.4265426052889324,MNQ,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,full
2666,2711,0.983400959055699,0.4789947486871718,-0.06989456374976388,-0.04963995354239257,-1.620645161290322,-4320.6399999999985,0.8982937538075344,-5359.479999999937,-0.5573113941888661,-4.467850677497608,0.5123780945236309,-0.06856744660172048,-0.07128905761455413,0.002250562640660165,44.228057014253565,0.2903225806451613,0.27756939234808703,0.4317329332333083,MNQ,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,IS
1418,1428,0.9929971988795518,0.5190409026798307,0.0096645437497082,0.07045874059770194,-1.1376727785613534,-1613.2199999999991,0.9823193808835115,-6880.2599999999975,-0.11613842389316001,0.4457985309856654,0.5155148095909732,0.00996018264237495,0.009349970197249105,0.0007052186177715092,44.241889985895625,0.2940761636107193,0.28913963328631875,0.41678420310296194,MNQ,OR15m/cut1100/exit1100/1R/both/follow,15,11:00,11:00,1.0,both,OOS
4084,4139,0.9867117661270839,0.4622918707149853,-0.027138050673365794,-0.09051150895140665,-0.6226395690499494,-2542.8599999999933,0.981622729346222,-7686.259999999997,-0.0907086317308137,-1.8675006216549823,0.5134671890303624,-0.027794940933412227,-0.026444795074313278,0.0017140058765915769,53.27840352595494,0.3023996082272282,0.0678256611165524,0.6295298726738492,MNQ,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,full
2666,2711,0.983400959055699,0.44786196549137286,-0.05431994950470036,-0.12336596736596736,-1.1690322580645156,-3116.6399999999985,0.9291276164071804,-4432.239999999937,-0.3635889603182344,-3.045142025698606,0.5123780945236309,-0.0506381459030843,-0.05818867544301386,0.002250562640660165,53.026256564141036,0.30007501875468867,0.06376594148537135,0.6357839459864967,MNQ,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,IS
1418,1428,0.9929971988795518,0.4894217207334274,0.023966986198522732,-0.03289284266017843,0.4046403385049378,573.7800000000018,1.0060785346936676,-7686.259999999997,0.03762778109317557,0.9590615899567487,0.5155148095909732,0.014891540583102186,0.03362368306151024,0.0007052186177715092,53.7524682651622,0.3067700987306065,0.07545839210155147,0.6177715091678421,MNQ,OR15m/cut1100/exit1100/2R/both/follow,15,11:00,11:00,2.0,both,OOS
4084,4139,0.9867117661270839,0.37414299706170423,-0.007054470049074689,-1.0065255408923601,2.4351469147894256,9945.140000000014,1.048208870559381,-9027.479999999912,0.22078126544854995,-0.30535396809302306,0.5134671890303624,0.020462478185503643,-0.03609475210640268,0.0017140058765915769,216.95176297747307,0.5389324191968659,0.0,0.44123408423114596,MNQ,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,full
2666,2711,0.983400959055699,0.3555888972243061,-0.061193849514073695,-1.0163834422657954,-3.065881470367591,-8173.639999999998,0.8848478513048944,-8531.839999999913,-0.6073736952492265,-2.156525668400066,0.5123780945236309,-0.03083649611981904,-0.09309242238834434,0.002250562640660165,214.2456864216054,0.5502625656414104,0.0,0.43135783945986494,MNQ,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,IS
1418,1428,0.9929971988795518,0.4090267983074753,0.09473367216085996,-1.0040394849549181,12.777700987306071,18118.78000000001,1.1339041938188263,-8011.300000000083,0.7374623404225084,2.3901324339662082,0.5155148095909732,0.11632348899408199,0.07176110141109973,0.0007052186177715092,222.0394922425952,0.5176304654442877,0.0,0.459802538787024,MNQ,OR15m/cut1100/exit1559/TE/both/follow,15,11:00,15:59,none,both,OOS
4084,4139,0.9867117661270839,0.4943682664054848,-0.050491914232972945,-0.08021154639175257,-0.8579480901077348,-3503.8599999999888,0.9798681494964537,-11737.980000000085,-0.11147131868616245,-3.364720714650708,0.5134671890303624,-0.04653796837065026,-0.054664749901463465,0.0017140058765915769,104.4382957884427,0.45323212536728696,0.44343780607247796,0.09500489715964741,MNQ,OR15m/cut1100/exit1559/1R/both/follow,15,11:00,15:59,1.0,both,full
2666,2711,0.983400959055699,0.4741185296324081,-0.10105144774040975,-0.3205008698837103,-4.176534133533382,-11134.639999999996,0.8162239173117881,-11737.980000000085,-1.107091561041958,-5.457920572667408,0.5123780945236309,-0.0959660073280219,-0.10639507205065732,0.002250562640660165,105.5960240060015,0.4673668417104276,0.4264816204051013,0.10015003750937734,MNQ,OR15m/cut1100/exit1559/1R/both/follow,15,11:00,15:59,1.0,both,IS
1418,1428,0.9929971988795518,0.5324400564174894,0.044565713644901896,0.3662435499238984,5.38136812411848,7630.780000000004,1.0672567142310179,-7823.800000000076,0.4502256916550478,1.7521542779442738,0.5155148095909732,0.04582687597376786,0.043223778182891665,0.0007052186177715092,102.26163610719323,0.42665726375176305,0.47531734837799716,0.08533145275035262,MNQ,OR15m/cut1100/exit1559/1R/both/follow,15,11:00,15:59,1.0,both,OOS
