year,trades,mean_entry_px,mean_risk_pts,avg_r,total_usd,risk_usd_per_trade
2024,74,5919.5574324324325,14.06418918918919,0.12721206852869038,-410.0,703.2094594594595
2025,256,6244.8330078125,19.1640625,0.004819629471966909,3285.0,958.203125
2026,184,7251.319293478261,21.88179347826087,-0.037118868393421676,-19685.0,1094.0896739130435
