trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
338,340.0,0.45857988165680474,0.00638240342878882,-28.16568047337278,-9520.0,0.9187418645840002,-18055.0,0.1093076049024591,ES,above_sma20,full,OR15m/cut1100/exit1100/TE/both/follow
231,233.0,0.46320346320346323,0.03095362579827077,-13.971861471861471,-3227.5,0.9558315371719868,-13607.5,0.43140100214404636,ES,above_sma20,IS,OR15m/cut1100/exit1100/TE/both/follow
107,107.0,0.4485981308411215,-0.04666388037822362,-58.808411214953274,-6292.5,0.8572643756379721,-17217.5,-0.4646881901069118,ES,above_sma20,OOS,OR15m/cut1100/exit1100/TE/both/follow
176,176.0,0.4602272727272727,-0.00923760848376266,-46.46306818181818,-8177.5,0.9190146075761327,-31147.5,-0.11637534553765258,ES,below_sma20,full,OR15m/cut1100/exit1100/TE/both/follow
99,99.0,0.494949494949495,0.06811081430223781,81.84343434343434,8102.5,1.1529856030210055,-13485.0,0.6239981681997812,ES,below_sma20,IS,OR15m/cut1100/exit1100/TE/both/follow
77,77.0,0.4155844155844156,-0.10868558063719183,-211.42857142857142,-16280.0,0.6609216349908877,-25937.5,-0.946763126811717,ES,below_sma20,OOS,OR15m/cut1100/exit1100/TE/both/follow
433,435.0,0.45496535796766746,0.015990434829552834,-20.744803695150114,-8982.5,0.9468144946414826,-32775.0,0.3029756900101078,ES,or_lt_0.4_atr,full,OR15m/cut1100/exit1100/TE/both/follow
278,280.0,0.4712230215827338,0.06030494229113804,18.138489208633093,5042.5,1.0525849258284017,-19657.5,0.905704545854159,ES,or_lt_0.4_atr,IS,OR15m/cut1100/exit1100/TE/both/follow
155,155.0,0.4258064516129032,-0.06348977855316129,-90.48387096774194,-14025.0,0.8078701325387856,-25702.5,-0.7349634928794665,ES,or_lt_0.4_atr,OOS,OR15m/cut1100/exit1100/TE/both/follow
2,2.0,0.5,-0.3082981096630269,-802.5,-1605.0,0.08416547788873038,-1752.5,-0.8135442243789844,ES,or_gt_0.7_atr,full,OR15m/cut1100/exit1100/TE/both/follow
2,2.0,0.5,-0.3082981096630269,-802.5,-1605.0,0.08416547788873038,-1752.5,-0.8135442243789844,ES,or_gt_0.7_atr,IS,OR15m/cut1100/exit1100/TE/both/follow
0,,,,,0.0,,,,ES,or_gt_0.7_atr,OOS,OR15m/cut1100/exit1100/TE/both/follow
103,104.0,0.4563106796116505,-0.029599974250714294,21.893203883495147,2255.0,1.0577982827117776,-10287.5,-0.31481260086605933,ES,dow_Mon,full,OR15m/cut1100/exit1100/TE/both/follow
66,67.0,0.45454545454545453,0.02671565414566331,90.3030303030303,5960.0,1.2744646557679025,-6340.0,0.22123229344088444,ES,dow_Mon,IS,OR15m/cut1100/exit1100/TE/both/follow
37,37.0,0.4594594594594595,-0.1300548789577662,-100.13513513513513,-3705.0,0.7858381502890174,-10287.5,-0.8704277545605399,ES,dow_Mon,OOS,OR15m/cut1100/exit1100/TE/both/follow
105,105.0,0.4857142857142857,0.02488407732578538,-21.785714285714285,-2287.5,0.9465974086611416,-12927.5,0.2343709457297278,ES,dow_Tue,full,OR15m/cut1100/exit1100/TE/both/follow
68,68.0,0.4264705882352941,-0.07682701218885268,-64.63235294117646,-4395.0,0.8465165007857517,-10745.0,-0.5588356131902252,ES,dow_Tue,IS,OR15m/cut1100/exit1100/TE/both/follow
37,37.0,0.5945945945945946,0.21181256616349856,56.95945945945946,2107.5,1.1484154929577466,-5435.0,1.306761768728615,ES,dow_Tue,OOS,OR15m/cut1100/exit1100/TE/both/follow
103,103.0,0.4854368932038835,0.013749985066761715,-67.66990291262135,-6970.0,0.8382173736435908,-13990.0,0.1355863102349754,ES,dow_Wed,full,OR15m/cut1100/exit1100/TE/both/follow
66,66.0,0.5,0.051980422016373935,-53.25757575757576,-3515.0,0.8607645078233314,-10015.0,0.41441811160269654,ES,dow_Wed,IS,OR15m/cut1100/exit1100/TE/both/follow
37,37.0,0.4594594594594595,-0.05444484841092493,-93.37837837837837,-3455.0,0.8063069376313945,-10400.0,-0.3130680255462777,ES,dow_Wed,OOS,OR15m/cut1100/exit1100/TE/both/follow
102,102.0,0.43137254901960786,0.012556488380909748,1.053921568627451,107.5,1.0024694193992993,-10660.0,0.11354062452242643,ES,dow_Thu,full,OR15m/cut1100/exit1100/TE/both/follow
