year,trades,mean_entry_px,mean_risk_pts,avg_r,total_usd,risk_usd_per_trade
2010,138,4898.827898550725,12.58695652173913,-0.12180668200549556,-458.0199999999999,25.17391304347826
2011,237,5215.411392405063,14.69409282700422,-0.09056046375394522,-646.4799999999999,29.38818565400844
2012,235,5579.925531914893,13.057446808510639,-0.038573271149660096,-185.39999999999986,26.114893617021277
2013,231,6007.416666666667,12.993506493506494,-0.13237309151370671,-535.2399999999999,25.98701298701299
2014,237,6832.264767932489,18.817510548523206,-0.07476943502186197,-709.4799999999999,37.63502109704641
2015,236,7443.16313559322,24.411016949152543,-0.1391471903098903,-1303.94,48.82203389830509
2016,229,7601.181222707423,22.189956331877728,-0.020919685624299793,-221.16,44.379912663755455
2017,235,8785.112765957447,20.23191489361702,0.035410394438991015,-52.899999999999864,40.46382978723404
2018,233,9973.827253218884,44.22854077253219,-0.007353710027000888,-506.32000000000033,88.45708154506438
2019,234,10482.80235042735,37.77029914529915,0.006311960060590134,727.6399999999996,75.5405982905983
2020,240,13078.436458333334,86.34583333333333,0.0051050685153239,-3656.6000000000004,172.69166666666666
2021,242,17314.052685950413,87.3698347107438,0.06199075390140499,2146.3199999999997,174.7396694214876
2022,240,15583.151041666666,128.92083333333332,0.11465460293030498,7065.4,257.84166666666664
2023,238,16652.58088235294,82.125,0.09856674488956706,4097.48,164.25
2024,249,20769.893574297188,99.65863453815261,0.18727884704605463,7670.54,199.31726907630522
2025,240,23182.6375,139.76979166666666,0.07500632759571486,4684.4,279.5395833333333
2026,131,26799.998091603054,187.66412213740458,-0.01971534942365641,-2304.2400000000002,375.32824427480915
