year,trades,mean_entry_px,mean_risk_pts,avg_r,total_usd,risk_usd_per_trade
2010,147,4894.457482993197,9.90986394557823,-0.10871780732599934,-381.3799999999999,19.81972789115646
2011,251,5215.189243027889,11.050796812749004,-0.1087420425018316,-851.0399999999998,22.10159362549801
2012,252,5579.175595238095,10.46031746031746,-0.16338770619957038,-593.0799999999998,20.92063492063492
2013,249,6005.887550200803,10.03714859437751,-0.08753755842287533,-409.95999999999987,20.07429718875502
2014,248,6835.0473790322585,14.329637096774194,-0.10415201030751632,-342.91999999999996,28.659274193548388
2015,255,7446.401960784314,19.523529411764706,-0.12411231124472549,-1496.7,39.04705882352941
2016,255,7599.206862745098,17.48921568627451,0.005490400647965451,-150.6999999999999,34.97843137254902
2017,252,8794.906746031746,16.39484126984127,-0.05075507239378587,-638.0799999999999,32.78968253968254
2018,256,9971.7529296875,35.7255859375,0.09231151888149502,859.7599999999996,71.451171875
2019,249,10500.44076305221,29.15863453815261,-0.005925023315319512,488.03999999999974,58.31726907630522
2020,252,13139.714285714286,67.71329365079364,-0.040414017763997556,-4657.580000000001,135.4265873015873
2021,254,17328.824803149608,68.89074803149606,0.16143748504518732,4297.339999999999,137.78149606299212
2022,257,15610.90272373541,101.03210116731518,0.14755612134006055,5145.22,202.06420233463035
2023,257,16662.497081712063,65.03307392996109,0.01349450191355601,1461.2199999999998,130.06614785992218
2024,257,20761.987354085602,76.76167315175097,0.14277220295860577,2670.72,153.52334630350194
2025,254,23197.584645669293,105.98326771653544,0.10507786206457191,8731.34,211.96653543307087
2026,139,26852.4964028777,145.41187050359713,-0.08233825452029166,-4187.06,290.82374100719426
